algorithms,NGT-panng,NGT-qg,bruteforce-blas,elasticsearch,faiss-ivf,faiss-ivfpqfs,flann,hnsw(faiss),hnsw(vespa),hnswlib,luceneknn,mrpt,n2,nndescent,opensearchknn,pg_embedding,pynndescent,qsgngt,scann,tinyknn,vald(NGT-anng),voyager,weaviate,Wins,Losses,Diff,Rank
NGT-panng,0,0,0,8,1,0,4,0,0,0,1,3,3,0,1,1,0,0,0,8,0,0,0,30,10,20,10
NGT-qg,3,0,0,8,1,0,5,2,4,0,5,7,6,2,5,5,5,0,2,8,6,5,6,85,1,84,2
bruteforce-blas,0,0,0,8,0,0,0,0,0,0,1,0,0,0,4,6,0,0,0,2,0,0,3,24,9,15,12
elasticsearch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,-149,23
faiss-ivf,0,0,4,4,0,0,2,0,0,0,3,2,1,1,4,4,1,0,0,3,1,0,2,32,12,20,10
faiss-ivfpqfs,2,1,0,7,2,0,4,0,0,0,0,5,8,0,0,0,0,1,0,6,3,0,0,39,0,39,5
flann,0,0,1,4,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,3,0,0,1,15,46,-31,17
hnsw(faiss),0,0,0,8,1,0,1,0,0,0,2,3,4,0,4,3,0,0,0,7,0,0,5,38,6,32,9
hnsw(vespa),0,0,0,8,1,0,2,0,0,0,8,2,0,0,5,6,0,0,0,8,0,0,5,45,9,36,6
hnswlib,2,0,4,8,1,0,7,4,3,0,6,6,5,4,4,5,6,0,4,8,8,5,6,96,0,96,1
luceneknn,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,16,46,-30,16
mrpt,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,8,50,-42,19
n2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,-37,18
nndescent,0,0,0,8,1,0,5,0,0,0,7,6,1,0,7,8,2,0,0,8,0,0,4,57,7,50,4
opensearchknn,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,53,-43,20
pg_embedding,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,62,-56,21
pynndescent,0,0,0,8,1,0,2,0,0,0,2,1,1,0,1,0,0,0,0,7,0,0,0,23,17,6,13
qsgngt,1,0,0,8,1,0,5,0,2,0,4,6,5,0,3,4,3,0,0,8,3,1,4,58,1,57,3
scann,2,0,0,8,1,0,5,0,0,0,0,6,3,0,0,0,0,0,0,8,6,0,0,39,6,33,8
tinyknn,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,103,-100,22
vald(NGT-anng),0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,17,27,-10,14
voyager,0,0,0,8,0,0,3,0,0,0,6,2,1,0,5,8,0,0,0,8,0,0,5,46,11,35,7
weaviate,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,16,41,-25,15
,10,1,9,149,12,0,46,6,9,0,46,50,38,7,53,62,17,1,6,103,27,11,41,,,,
