algorithms,NGT-panng,NGT-qg,bruteforce-blas,elasticsearch,faiss-ivf,faiss-ivfpqfs,flann,hnsw(faiss),hnsw(vespa),hnswlib,luceneknn,mrpt,n2,nndescent,opensearchknn,pg_embedding,pynndescent,qsgngt,scann,tinyknn,vald(NGT-anng),voyager,weaviate,sum
NGT-panng,0,0,0,16,1,0,4,0,0,0,4,3,3,0,6,1,0,0,0,13,0,0,2,53
NGT-qg,3,0,0,16,1,0,5,4,9,0,13,7,6,2,13,5,5,0,2,14,8,10,12,135
bruteforce-blas,0,0,0,16,0,0,0,0,0,0,3,0,0,0,8,6,0,0,0,4,1,0,6,44
elasticsearch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faiss-ivf,8,8,10,12,0,0,8,7,8,7,11,9,4,9,12,4,8,6,7,11,9,8,10,176
faiss-ivfpqfs,6,7,1,15,2,0,5,8,7,5,8,8,14,2,8,0,4,6,5,14,9,8,8,150
flann,0,0,3,12,0,0,0,0,0,0,5,0,0,0,6,3,0,0,0,9,2,0,4,44
hnsw(faiss),0,0,0,16,1,0,1,0,0,0,5,3,4,0,7,3,0,0,0,8,0,0,7,55
hnsw(vespa),0,0,0,16,1,0,2,0,0,0,14,2,0,0,9,6,0,0,0,11,0,0,10,71
hnswlib,2,0,4,16,1,0,7,6,9,0,14,6,5,4,9,5,6,0,4,11,11,7,11,138
luceneknn,0,0,0,16,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,2,0,0,0,27
mrpt,0,0,0,13,0,0,0,1,0,0,6,0,0,0,7,1,0,0,0,10,4,0,6,48
n2,0,0,0,8,1,0,0,3,6,0,8,0,0,0,8,0,0,1,0,5,4,5,6,55
nndescent,0,0,0,16,1,0,5,0,0,0,12,6,1,0,15,8,2,0,0,16,0,0,9,91
opensearchknn,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18
pg_embedding,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
pynndescent,0,0,0,16,1,0,2,0,0,0,7,1,1,0,9,0,0,0,0,14,0,0,5,56
qsgngt,1,0,0,16,1,0,5,1,3,0,11,6,5,0,9,4,3,0,1,13,5,3,9,96
scann,2,0,0,15,1,0,5,1,1,0,1,6,3,0,1,0,0,0,0,8,6,1,0,51
tinyknn,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
vald(NGT-anng),0,0,0,16,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,10,0,0,2,35
voyager,0,0,0,16,0,0,3,0,0,0,13,2,1,0,10,8,0,0,0,11,0,0,10,74
weaviate,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,1,0,0,0,28
,22,15,18,315,12,0,53,31,43,12,136,60,47,17,156,62,28,13,19,185,59,42,117,
